                                                  review  target
21492  Hubert Selby Jr. gave us the book "Requiem For...       0
9488   There are very few performers today who can ke...       1
16933  C'mon guys some previous reviewers have nearly...       0
12604  The movie has several story lines that follow ...       0
8222   don't mind the soundtrack, which is played out...       1
9110   Just as the new BSG wasn't what fans of the or...       1
21196  Well done Al Gore! You have become the first p...       0
17193  I ve finished seeing the movie 10 minutes ago....       0
23846  Maybe you shouldn't compare, but Wild Style an...       0
10415  This series, produced at probably the most pro...       1
9018   I had pleasure to watch the short film "The Cu...       1
24056  Everybody who wants to be an editor should wat...       0
19992  i guess its possible that I've seen worse movi...       0
11464  After gorging myself on a variety of seemingly...       1
10641  It is unusual to see a film where the performa...       1
7192   What a thrill ride! Twisted and thought provok...       1
2164   Henry Fool surprised me. I didn't expect it to...       1
2277   i must say this movie is truly amazing and hea...       1
6038   FUTZ is the only show preserved from the exper...       1
15100  This movie feels so EMPTY. IN every scene in t...       0
12112  **SPOILER ALERT** W. Somerset Maugham classic ...       1
23028  The worst kind of film. Basically, the US Decl...       0
23128  at the beginning i was happy to know about a n...       0
21519  ...but it'll make you wonder if we had any in ...       0
5221   I had the opportunity to see this film twice a...       1
15321  THE TEMP (1993) didn't do much theatrical busi...       0
17858  This was one of the worst movies I've ever see...       0
22558  The subject this latest adman-turned-movieman ...       0
18400  This very low budget comedy caper movie succee...       0
7385   I saw this 25 years ago on PBS. It was very di...       1
...                                                  ...     ...
18272  A youth gets a bad hair day, goes out on a hil...       0
11742  This is a complex documentary that shows many ...       1
17137  It is incredible that with all of the countles...       0
19433  Despite some occasionally original touches, li...       0
24535  This (extremely)low-budget movie is compared t...       0
16946  This movie is simply far too long, far too rep...       0
22926  In the wake of Lock, Stock and Two Smoking Bar...       0
24477  Hobgoblins....Hobgoblins....where do I begin?!...       0
4764   An entertaining kung fu film, with acting, plo...       1
19946  Why would any legitimate actor having read the...       0
8444   This is one of the best films we watched in my...       1
18900  I remember watching this movie when I was youn...       0
2962   Meryl Streep was incredible in this film. She ...       1
12645  This movie had what sounded like a good premis...       0
21758  A pot - boiler if ever I saw one. A supposed t...       0
21780  I watched full house when I was younger and I ...       0
3462   Chang Cheh's "Shaolin Temple" might very well ...       1
10989  Dennis Hopper and JT Walsh steal the show here...       1
7751   That Certain Thing is the story of a gold digg...       1
16332  I'll admit that I don't expect much from a Rog...       0
20609  This agonizing comedy-drama got surprisingly s...       0
144    Both visually and musically stunning. A treat ...       1
21440  I'll be short and to the point. This movie was...       0
19279  I was looking for a cute, simple comedy to pas...       0
7813   CITY HALL is a somewhat mixed bag. Part vignet...       1
10955  OK - as far as the 2 versions of this movie. T...       1
17289  I saw this movie a long time ago... luckily it...       0
5192   Given the nature and origin of the 11 filmaker...       1
12172  ... for Paris is a moveable feast." Ernest Hem...       1
235    Hardcastle and McCormick is an excellent TV sh...       1

[25000 rows x 2 columns]
