                                                  review  target
4300   Sorry did i miss something? did i walk out ear...       0
9536   Lillian Hellman's play, adapted by Dashiell Ha...       0
813    This "film" is the culmination of everything t...       0
11248  Doc Savage: The Man of Bronze is a horrible mo...       0
1436   Mt little sister and I are self-proclaimed hor...       0
4804   When this cartoon first aired I was under the ...       0
4779   I rented this shortly after renting Ben Stein'...       0
4642   This is not a good movie. It's disjointed, all...       0
11605  This version is pretty insipid, I'm afraid. Ja...       0
2811   Very businesslike authority with little respon...       0
35     By rights, there should never have been a "Fir...       0
3258   This is the first time I ever saw a movie with...       0
4292   Haunted Boat sells itself as 'The Fog' meets '...       0
9999   As a youth pastor I heard good things about th...       0
6348   If it smells like garbage and if it looks like...       0
3611   What does the " Executive producer " do in a m...       0
7462   God, what an awful thing ! Oliver Stone probab...       0
10547  NATURAL BORN KILLERS (1994)<br /><br />Cinema ...       0
3038   I can't believe this is on DVD. Even less it w...       0
1074   Absolutely awful movie. Utter waste of time.<b...       0
10764  My Score for this crap: 1 / 10 1 for the techn...       0
1847   I gave this movie a single star only because i...       0
5149   This movie was so unrelentingly bad, I could h...       0
7843   I sought out a copy of The Forest because I wa...       0
478    This movie was lame, lame, lame. What a build ...       0
11862  "It appears that many critics find the idea of...       0
11365  An actor asks, "What's my motivation?," to und...       0
146    If you read my review of SyFy's "Dinoshark", y...       0
10960  I don't know what would be so great about this...       0
6249   Nobody could like this movie for its merit but...       0
...                                                  ...     ...
11742  i cannot believe i wasted 80 minutes of my lif...       0
9719   I really wanted to love this show. I truly, ho...       0
753    "Raising Victor Vargas" is one of those light,...       0
3049   This is the worst show I have seen in years. I...       0
8151   Just don't bother. I thought I would see a mov...       0
10820  OK this movie was really "unique" shall we say...       0
562    This is one of the funniest movies i've ever s...       0
6542   I am sad that a period of history that is so f...       0
8093   The infamous Ed Wood "classic" Plan 9 From Out...       0
4764   Seeing as I hate reading long essays hoping to...       0
3562   Too bad, I really like Kristen Cloke and Gary ...       0
8444   All the elements for a bad night at the movies...       0
2516   Writer/Director Peter Greenaway cements his ti...       0
2962   The only redeeming part of this movie was the ...       0
5374   Munchies starts in deepest darkest Peru (looks...       0
5396   Yes, people are racist. People are even racist...       0
9394   Whether you want to spend nearly 2 hours of yo...       0
3462   I am SURE there is some sort of IMDB cult that...       0
10989  0*'s Christian Slater, Tara Reid, Stephen Dorf...       0
7751   I wasn't terribly impressed with Dante's 1st s...       0
4225   ...when he remade Broadway BILL (1934) as RIDI...       0
144    Even if one didn't realize that Sellers was in...       0
5056   I can't believe that people thought this stink...       0
2895   My complaints here concern the movie's pacing ...       0
7813   This movie is just plain terrible!!!! Slow act...       0
10955  Well, you might not actually SEE any women in ...       0
905    An interesting idea for a film, both showing t...       0
5192   Seriously, I absolutely love these old movies ...       0
12172  I really didn't expect much from this film see...       0
235    A series of painfully unfunny skits that seem ...       0

[12500 rows x 2 columns]
