                                                  review  target
4300   I have watched this episode more often than an...       1
9536   As many reviewers here have noted, the film ve...       1
813    At first,this movie seems so bad that i almost...       1
11248  Was this based on a comic-book? A video-game? ...       1
1436   Melissa Joan Hart shines! This show is amazing...       1
4804   So this made for TV film scores only a 7.6 on ...       1
4779   me and my sister use to rent this every time w...       1
4642   "THINGS TO COME" Movie Review by kWRice<br /><...       1
11605  When the British Film Institute asked Martin S...       1
2811   Okay. Yes, this was a very-tight-budget movie ...       1
35     One of the most nihilistic and brutal films I'...       1
3258   I find myself comparing all stand-up acts to t...       1
4292   no movie with dennis hopper, gary busey, erika...       1
9999   Amazing acting, music. A simple and clear plot...       1
6348   Bruce Almighty is the best Jim Carrey work sin...       1
3611   For those that were interested in knowing how ...       1
7462   What happens when someone has so much social a...       1
10547  I watched this movie once and might watch it a...       1
3038   Slaughter High is about a boy named Marty. He ...       1
1074   Mean-spirited, ugly, nasty retro-action thrill...       1
10764  Went to see this finnish film and I've got to ...       1
1847   THis was a hilarious movie and I would see it ...       1
5149   I really enjoyed The 60's. Not being of that g...       1
7843   This is the French and Belgians doing what the...       1
478    OK where do i begin?... This movie changed my ...       1
11862  Back in the forties, when movies touched on ma...       1
11365  Girlfight is like your grandmother's cooking: ...       1
146    Those who love Elivra as I did in her late nig...       1
10960  If you want to be cynical and pedantic you cou...       1
6249   Well, if you are looking for a great mind cont...       1
...                                                  ...     ...
11742  This is a complex documentary that shows many ...       1
9719   It's hard to say anything about a movie like t...       1
753    "The Groove Tube" was one of only two Ken Shap...       1
3049   Anyone who thinks anime is nothing but sex and...       1
8151   How Tasty Was My Little Frenchman tells a stor...       1
10820  Sure, the history in this movie was "Hollywood...       1
562    You could stage a version of Charles Dickens' ...       1
6542   Playwright Sidney Bruhl (Michael Caine) has ha...       1
8093   This fantastic whodunit is an early prototype ...       1
4764   An entertaining kung fu film, with acting, plo...       1
3562   One of my favorite movies, with a very nostalg...       1
8444   This is one of the best films we watched in my...       1
2516   Josef Von Sternberg directs this magnificent s...       1
2962   Meryl Streep was incredible in this film. She ...       1
5374   I thought this was one of those really great f...       1
5396   Despite the feelings of most "Star Wars" fans,...       1
9394   What can you say about the film White Fire. Am...       1
3462   Chang Cheh's "Shaolin Temple" might very well ...       1
10989  Dennis Hopper and JT Walsh steal the show here...       1
7751   That Certain Thing is the story of a gold digg...       1
4225   An old man who lives in the mountains wakes up...       1
144    Both visually and musically stunning. A treat ...       1
5056   Fifteen years later and Paris Is Burning is st...       1
2895   This movie was pretty good. The acting was gre...       1
7813   CITY HALL is a somewhat mixed bag. Part vignet...       1
10955  OK - as far as the 2 versions of this movie. T...       1
905    This made-for-TV film is a brilliant one. This...       1
5192   Given the nature and origin of the 11 filmaker...       1
12172  ... for Paris is a moveable feast." Ernest Hem...       1
235    Hardcastle and McCormick is an excellent TV sh...       1

[12500 rows x 2 columns]
